text,intent,emotion,text_length
sometimes i feel lazy but want to change these days,motivation,hopeful,51
sometimes my heart is racing today,anxiety,overwhelmed,34
at home can we talk please help me,greeting,happy,34
at home help me stay consistent because it keeps happening,motivation,neutral,58
recently nothing feels good today lately,sadness,hopeless,40
honestly i cannot stop crying because it keeps happening,sadness,down,56
sometimes exam pressure is overwhelming today,academic_pressure,stressed,45
at night i am afraid of failing,academic_pressure,stressed,31
in class hey there and it is affecting me,greeting,neutral,41
sometimes how can i pass my exams and it is affecting me,academic_pressure,worried,56
i need company but i do not know what to do,loneliness,lonely,43
honestly i want to improve myself these days,motivation,determined,44
in class i am happy today and it is affecting me,positive,content,48
in class someone made me furious today,anger,upset,38
honestly i am scared about the future these days,anxiety,anxious,48
i keep imagining the worst and i need help,anxiety,worried,42
at night my friend ignored me right now,relationship,sad,39
recently i am sad and tired lately,sadness,depressed,34
at home work is overwhelming lately,stress,tired,35
i am scared about the future please help me,anxiety,nervous,43
recently i do not feel confident because it keeps happening,self_esteem,sad,59
my sleep is disturbed and i need help,sleep,anxious,37
i am angry at my friend but i do not know what to do,anger,upset,52
recently i feel useless today,self_esteem,insecure,29
recently i feel exhausted every morning please help me,sleep,anxious,54
recently i am afraid of failing lately,academic_pressure,worried,38
at home i keep overthinking at night please help me,sleep,stressed,51
sometimes i feel hopeless right now lately,sadness,down,42
at night i am grateful for small things today and i feel stuck,gratitude,grateful,62
recently i want to keep going and i feel stuck,motivation,determined,46
in class everything feels like too much please help me,stress,frustrated,54
i doubt myself but i do not know what to do,self_esteem,insecure,43
honestly i feel hopeless right now but i do not know what to do,sadness,hopeless,63
sometimes i sleep too late because it keeps happening,sleep,anxious,53
recently i feel isolated and i need help,loneliness,sad,40
sometimes thanks for being here and i need help,gratitude,happy,47
at home i feel nervous today and i feel stuck,anxiety,worried,45
honestly i had a good day because it keeps happening,positive,hopeful,52
sometimes i had a fight with someone close please help me,relationship,confused,57
nobody talks to me and i want to feel better,loneliness,sad,44
at night thanks that helped me and it is affecting me,gratitude,content,53
sometimes good morning because it keeps happening,greeting,happy,49
in class good evening these days,greeting,happy,32
sometimes i feel calm today and i feel stuck,positive,content,44
sometimes i want to improve myself and it is affecting me,motivation,determined,57
recently i feel like a failure and i need help,self_esteem,hopeless,46
i want to hit something because it keeps happening,anger,frustrated,50
recently my heart is racing and i feel stuck,anxiety,worried,44
recently i need company and i want to feel better,loneliness,down,49
i feel alone even around people lately,loneliness,down,38
at night hello i want to chat and it is affecting me,greeting,content,52
sometimes my relationship is stressful and i feel stuck,relationship,worried,55
i cannot handle all this pressure today,stress,stressed,39
at home i miss my friend these days,relationship,upset,35
in class i feel down for no reason right now,sadness,sad,44
in class i cannot focus on studying and i feel stuck,academic_pressure,worried,52
sometimes i keep comparing myself to others and i need help,self_esteem,confused,59
in class i feel worthless sometimes and i need help,self_esteem,confused,51
at night i cannot relax at bedtime and i feel stuck,sleep,tired,51
at home i am scared about the future please help me,anxiety,worried,51
recently thank you for listening because it keeps happening,gratitude,content,59
at home i cannot believe in myself and i feel stuck,self_esteem,hopeless,51
sometimes i am scared about the future and i feel stuck,anxiety,overwhelmed,55
everyone seems busy without me and i feel stuck,loneliness,down,47
at home i am grateful for small things today because it keeps happening,gratitude,content,71
at home i cannot handle all this pressure and i want to feel better,stress,overwhelmed,67
in class i want to feel better please help me,motivation,neutral,45
at night i feel nervous today and i feel stuck,anxiety,nervous,46
honestly i feel like shouting and i want to feel better,anger,upset,55
honestly i want to cry and i feel stuck,sadness,sad,39
sometimes i cannot focus on studying these days,academic_pressure,worried,47
at home i feel anxious and i need help,anxiety,overwhelmed,38
sometimes i feel lonely and it is affecting me,loneliness,down,46
recently i doubt myself but i do not know what to do,self_esteem,confused,52
sometimes i feel isolated but i do not know what to do,loneliness,sad,54
recently i am sad and tired and it is affecting me,sadness,hopeless,50
at night i feel burned out right now,stress,frustrated,36
sometimes i feel lazy but want to change and i need help,motivation,hopeful,56
honestly i am scared i will disappoint everyone and i need help,self_esteem,hopeless,63
recently i am getting mad today,anger,frustrated,31
at home i am confused about my relationship and i feel stuck,relationship,sad,60
at night hello i want to chat lately,greeting,neutral,36
honestly help me stay consistent please help me,motivation,hopeful,47
in class i finally made progress and i want to feel better,positive,content,58
recently i cannot handle all this pressure and it is affecting me,stress,tired,65
honestly i am angry at my friend,anger,frustrated,32
i want to keep going but i do not know what to do,motivation,determined,49
in class i feel like a failure right now,self_esteem,insecure,40
honestly hello today,greeting,happy,20
recently i am angry upon you because it keeps happening,anger,angry,55
sometimes i am angry upon you and i want to feel better,anger,frustrated,55
at night my relationship is stressful and i feel stuck,relationship,sad,54
i feel worthless sometimes and i need help,self_esteem,confused,42
in class everything feels like too much and it is affecting me,stress,stressed,62
can we talk and it is affecting me,greeting,content,34
recently i cannot stop overthinking but i do not know what to do,anxiety,anxious,64
at night i need better sleep today,sleep,tired,34
sometimes how can i pass my exams lately,academic_pressure,anxious,40
sometimes someone close disappointed me and i want to feel better,relationship,sad,65
sometimes i feel frustrated with everyone and i want to feel better,anger,upset,67
i want to improve myself but i do not know what to do,motivation,tired,53
at home i feel burned out please help me,stress,stressed,40
in class i am angry at my friend right now,anger,upset,42
recently i feel burned out please help me,stress,stressed,41
i have too many responsibilities right now,stress,overwhelmed,42
recently my mind is overloaded and i want to feel better,stress,stressed,56
recently i feel forgotten lately,loneliness,sad,32
honestly i have too many responsibilities and i need help,stress,stressed,57
at night i cannot stop crying and it is affecting me,sadness,down,52
at night i miss having someone close lately,loneliness,down,43
in class i feel isolated but i do not know what to do,loneliness,lonely,53
at night my relationship is stressful please help me,relationship,sad,52
honestly i feel worthless sometimes please help me,self_esteem,sad,50
hey can you listen to me because it keeps happening,greeting,content,51
honestly someone close disappointed me and i need help,relationship,upset,54
in class i feel burned out these days,stress,stressed,37
honestly thank you i feel supported because it keeps happening,gratitude,content,62
at night i feel like a failure and i need help,self_esteem,confused,46
recently i feel restless and tense,anxiety,anxious,34
i feel like i am not good enough and i feel stuck,self_esteem,hopeless,49
honestly i want to build better habits today,motivation,neutral,44
i do not know how to fix this relationship right now,relationship,confused,52
at night i am grateful for small things today but i do not know what to do,gratitude,happy,74
nobody talks to me and i need help,loneliness,lonely,34
sometimes i am afraid of failing right now,academic_pressure,stressed,42
in class i feel calm today please help me,positive,happy,41
in class i feel lonely today,loneliness,sad,28
honestly i am stressed because of exams these days,academic_pressure,overwhelmed,50
honestly i am tired of dealing with problems,stress,frustrated,44
i want to keep going because it keeps happening,motivation,neutral,47
i have too much study pressure but i do not know what to do,academic_pressure,overwhelmed,59
in class i do not know how to fix this relationship,relationship,worried,51
sometimes i keep imagining the worst and i want to feel better,anxiety,nervous,62
at home i had a fight with someone close and i feel stuck,relationship,sad,57
honestly i have trouble falling asleep because it keeps happening,sleep,anxious,65
in class i procrastinated and exams are near please help me,academic_pressure,anxious,59
at home i am scared i will disappoint everyone but i do not know what to do,self_esteem,hopeless,75
in class i sleep too late please help me,sleep,anxious,40
recently i am excited about tomorrow and i want to feel better,positive,content,62
recently i cannot relax at bedtime right now,sleep,stressed,44
recently i feel exhausted every morning and it is affecting me,sleep,stressed,62
in class i cannot control my anger lately,anger,angry,41
sometimes i feel empty inside today,sadness,hopeless,35
i feel restless and tense,anxiety,anxious,25
at night i feel alone even around people because it keeps happening,loneliness,sad,67
i feel sad today right now,sadness,hopeless,26
in class i feel stressed because it keeps happening,stress,tired,51
at night i am stressed because of exams and i feel stuck,academic_pressure,stressed,56
at home can we talk today,greeting,content,25
recently i am getting mad but i do not know what to do,anger,frustrated,54
work is overwhelming today,stress,stressed,26
sometimes i want to hit something because it keeps happening,anger,angry,60
at home i feel depressed today and i need help,sadness,sad,46
at home i feel useless today,self_esteem,hopeless,28
sometimes i am angry today,anger,angry,26
recently i feel depressed today please help me,sadness,down,46
honestly hello i want to chat but i do not know what to do,greeting,neutral,58
honestly someone made me furious these days,anger,frustrated,43
recently i feel lonely lately,loneliness,sad,29
i have no one to share this with because it keeps happening,loneliness,sad,59
honestly they do not understand me today,relationship,sad,40
honestly my friend ignored me and i feel stuck,relationship,upset,46
sometimes i miss having someone close and i want to feel better,loneliness,down,63
at night i am angry these days,anger,frustrated,30
at home i have too much study pressure and i want to feel better,academic_pressure,stressed,64
honestly i do not know how to fix this relationship because it keeps happening,relationship,sad,78
in class work is overwhelming right now,stress,overwhelmed,39
in class i feel burned out right now,stress,overwhelmed,36
i feel peaceful right now these days,positive,determined,36
in class i feel exhausted every morning and i need help,sleep,anxious,55
sometimes i feel left out lately,loneliness,lonely,32
in class i had a fight with someone close lately,relationship,worried,48
honestly how can i pass my exams because it keeps happening,academic_pressure,anxious,59
i need a break these days,stress,tired,25
sometimes i appreciate my family lately,gratitude,content,39
honestly i appreciate my family because it keeps happening,gratitude,content,58
in class i feel peaceful right now and i need help,positive,content,50
at home i want to hit something,anger,upset,31
honestly i need someone to talk to these days,greeting,content,45
honestly i keep comparing myself to others and i need help,self_esteem,confused,58
at night i feel isolated and i want to feel better,loneliness,sad,50
recently i feel sad today and i need help,sadness,hopeless,41
at night i sleep too late today,sleep,tired,31
recently my mind is overloaded please help me,stress,stressed,45
at home i feel more confident please help me,positive,happy,44
recently hello,greeting,happy,14
recently i am sad and tired please help me,sadness,hopeless,42
at home i had a fight with someone close and i need help,relationship,worried,56
in class i want to feel better these days,motivation,tired,41
sometimes i am grateful for small things today please help me,gratitude,content,61
in class i feel isolated and i feel stuck,loneliness,down,41
at night hello these days,greeting,happy,25
recently i am proud of myself and i want to feel better,positive,hopeful,55
at home i want to build better habits because it keeps happening,motivation,hopeful,64
sometimes i cannot stop overthinking and i need help,anxiety,overwhelmed,52
honestly i do not know how to fix this relationship and i want to feel better,relationship,worried,77
at night i feel grateful today and it is affecting me,gratitude,happy,53
recently i feel like shouting and it is affecting me,anger,upset,52
sometimes thank you i feel supported today,gratitude,grateful,42
in class i cannot stop overthinking and it is affecting me,anxiety,worried,58
recently i feel depressed today but i do not know what to do,sadness,depressed,60
recently i had a fight with someone close lately,relationship,sad,48
at home i sleep too late and it is affecting me,sleep,stressed,47
sometimes i cannot control my anger today,anger,angry,41
honestly i am angry but i do not know what to do,anger,upset,48
in class thank you for listening and i need help,gratitude,content,48
at home are you there and i want to feel better,greeting,content,47
in class i sleep too late please help me,sleep,tired,40
at home i cannot focus on studying but i do not know what to do,academic_pressure,overwhelmed,63
at night i have too much study pressure and it is affecting me,academic_pressure,stressed,62
i cannot handle all this pressure today,stress,tired,39
sometimes i feel grateful today please help me,gratitude,happy,46
in class i am worried about my grades today,academic_pressure,worried,43
at night i have too many responsibilities and i need help,stress,tired,57
recently my mind stays awake and i need help,sleep,stressed,44
at home i feel stressed and i need help,stress,overwhelmed,39
i want to hit something lately,anger,angry,30
i finally made progress because it keeps happening,positive,content,50
at home i appreciate your help and i need help,gratitude,content,46
recently i feel pressure from every side today,stress,stressed,46
recently everyone seems busy without me and i want to feel better,loneliness,sad,65
i have too much study pressure these days,academic_pressure,anxious,41
i am scared about the future today,anxiety,nervous,34
at night my mind is overloaded right now,stress,tired,40
i need encouragement and i want to feel better,motivation,hopeful,46
sometimes i want to build better habits today,motivation,determined,45
i wake up tired,sleep,tired,15
honestly i cannot handle all this pressure these days,stress,tired,53
in class i am proud of myself please help me,positive,happy,44
recently i am scared i will disappoint everyone and i want to feel better,self_esteem,insecure,73
recently i feel hopeful please help me,positive,hopeful,38
at home i keep overthinking at night today,sleep,tired,42
honestly i feel peaceful right now and i feel stuck,positive,content,51
recently i finally made progress lately,positive,content,39
at night i want to feel better and i feel stuck,motivation,neutral,47
honestly i have no one to share this with lately,loneliness,lonely,48
honestly i am excited about tomorrow lately,positive,hopeful,43
i feel restless and tense today,anxiety,worried,31
honestly i wake up tired right now,sleep,tired,34
recently i cannot control my anger these days,anger,frustrated,45
honestly i had a fight with someone close these days,relationship,confused,52
at night i am angry at my friend because it keeps happening,anger,angry,59
recently i am scared i will disappoint everyone lately,self_esteem,sad,54
recently i feel grateful today please help me,gratitude,grateful,45
sometimes i feel like i am not good enough,self_esteem,insecure,42
sometimes someone close disappointed me and i feel stuck,relationship,confused,56
at night my thoughts are moving too fast and i feel stuck,anxiety,anxious,57
at night work is overwhelming please help me,stress,tired,44
recently my mind is overloaded but i do not know what to do,stress,frustrated,59
recently i keep overthinking at night and it is affecting me,sleep,anxious,60
at home i need help planning my studies these days,academic_pressure,anxious,50
recently i cannot focus on studying these days,academic_pressure,anxious,46
sometimes i am thankful for my friends and i want to feel better,gratitude,content,64
in class good evening because it keeps happening,greeting,happy,48
recently i cannot control my anger lately,anger,frustrated,41
honestly nothing feels good today today,sadness,hopeless,39
sometimes i appreciate my family and i want to feel better,gratitude,happy,58
at night i doubt myself these days,self_esteem,sad,34
hey there,greeting,neutral,9
in class good morning right now,greeting,content,31
in class i am worried about my grades,academic_pressure,stressed,37
honestly my mind is overloaded and it is affecting me,stress,tired,53
recently my assignments are too much,academic_pressure,worried,36
in class i am worried about my grades but i do not know what to do,academic_pressure,stressed,66
recently i cannot handle all this pressure and i feel stuck,stress,frustrated,59
at night i am happy today but i do not know what to do,positive,content,54
at night i feel rejected these days,relationship,sad,35
honestly i cannot relax at bedtime and i feel stuck,sleep,tired,51
recently i need a small step to begin these days,motivation,tired,48
i feel isolated but i do not know what to do,loneliness,down,44
honestly my friend ignored me today,relationship,worried,35
sometimes i feel hopeless right now these days,sadness,hopeless,46
recently i cannot stop crying and it is affecting me,sadness,upset,52
honestly my mind is overloaded,stress,overwhelmed,30
recently my heart is racing and i want to feel better,anxiety,nervous,53
at home nobody talks to me please help me,loneliness,lonely,41
sometimes i am confused about my relationship and i feel stuck,relationship,confused,62
recently good morning and i need help,greeting,content,37
sometimes i am worried about my grades and it is affecting me,academic_pressure,worried,61
in class i appreciate my family please help me,gratitude,happy,46
at home i need help planning my studies lately,academic_pressure,worried,46
recently i feel more confident and i want to feel better,positive,happy,56
i am getting mad but i do not know what to do,anger,upset,45
sometimes i need encouragement right now,motivation,tired,40
recently i am sad and tired today,sadness,depressed,33
at night i am angry at my friend,anger,upset,32
at home my sleep is disturbed but i do not know what to do,sleep,tired,58
honestly i appreciate your help today,gratitude,grateful,37
recently i feel panic building up please help me,anxiety,overwhelmed,48
at home i cannot stop crying lately,sadness,sad,35
i need encouragement and i need help,motivation,neutral,36
honestly i feel more confident and i feel stuck,positive,content,47
sometimes i do not know how to fix this relationship but i do not know what to do,relationship,sad,81
at home i feel restless and tense but i do not know what to do,anxiety,worried,62
at night i have no one to share this with these days,loneliness,lonely,52
at night i feel down for no reason and i want to feel better,sadness,depressed,60
honestly i have trouble falling asleep but i do not know what to do,sleep,stressed,67
in class my thoughts are moving too fast,anxiety,worried,40
at night i feel like i am not good enough,self_esteem,hopeless,41
at home i miss having someone close and it is affecting me,loneliness,down,58
i sleep too late and i need help,sleep,stressed,32
recently help me stay consistent but i do not know what to do,motivation,determined,61
honestly i feel depressed today and i want to feel better,sadness,hopeless,57
at home i am thankful for my friends and i want to feel better,gratitude,happy,62
at home i feel grateful today right now,gratitude,happy,39
at home good evening lately,greeting,happy,27
at home someone close disappointed me because it keeps happening,relationship,sad,64
in class nothing feels good today please help me,sadness,sad,48
at night i doubt myself because it keeps happening,self_esteem,sad,50
recently exam pressure is overwhelming today,academic_pressure,overwhelmed,44
recently i am angry at my friend lately,anger,upset,39
sometimes i hate how i look and i feel stuck,self_esteem,sad,44
honestly i am getting mad please help me,anger,upset,40
at night i feel rejected please help me,relationship,worried,39
honestly i feel depressed today and i feel stuck,sadness,hopeless,48
i feel left out right now,loneliness,lonely,25
in class everything feels like too much but i do not know what to do,stress,frustrated,68
sometimes i cannot control my anger lately,anger,angry,42
sometimes i feel depressed today and i need help,sadness,down,48
honestly i feel useless and i feel stuck,self_esteem,confused,40
honestly i cannot believe in myself,self_esteem,confused,35
honestly i am angry and i want to feel better,anger,angry,45
at home i had a fight with someone close because it keeps happening,relationship,confused,67
honestly i feel lonely today,loneliness,lonely,28
honestly i need a break lately,stress,overwhelmed,30
recently i want to keep going these days,motivation,neutral,40
in class i need someone to talk to and i feel stuck,greeting,content,51
i cannot believe in myself,self_esteem,insecure,26
at home i feel sad today and i feel stuck,sadness,sad,41
i feel more confident and i want to feel better,positive,content,47
honestly i feel panic building up because it keeps happening,anxiety,overwhelmed,60
at home someone made me furious and it is affecting me,anger,upset,54
recently i am worried about my grades,academic_pressure,overwhelmed,37
at night i feel nervous today right now,anxiety,overwhelmed,39
at night i feel hurt by someone i love because it keeps happening,relationship,sad,65
honestly thank you i feel supported because it keeps happening,gratitude,happy,62
at home how can i start again and it is affecting me,motivation,neutral,52
at night i am angry at my friend please help me,anger,frustrated,47
in class my relationship is stressful and i feel stuck,relationship,confused,54
recently i cannot stop overthinking lately,anxiety,worried,42
honestly i need motivation and i want to feel better,motivation,tired,52
i doubt myself today,self_esteem,confused,20
sometimes my mind stays awake and i want to feel better,sleep,tired,55
sometimes i feel rejected but i do not know what to do,relationship,confused,54
recently i need motivation and i feel stuck,motivation,neutral,43
at night help me stay consistent and i need help,motivation,hopeful,48
at night i feel anxious and i feel stuck,anxiety,anxious,40
i feel frustrated with everyone and it is affecting me,anger,frustrated,54
at home my thoughts are moving too fast but i do not know what to do,anxiety,worried,68
at night i am angry at my friend today,anger,upset,38
i feel more confident right now,positive,happy,31
at night i need a break today,stress,overwhelmed,29
i need help planning my studies and i need help,academic_pressure,overwhelmed,47
sometimes help me stay consistent please help me,motivation,neutral,48
honestly i cannot stop overthinking because it keeps happening,anxiety,overwhelmed,62
at home hey can you listen to me today,greeting,content,38
sometimes i feel alone even around people today,loneliness,lonely,47
at home i am happy today,positive,hopeful,24
sometimes i miss my friend today,relationship,worried,32
recently i am confused about my relationship lately,relationship,worried,51
recently i cannot stop crying and i feel stuck,sadness,sad,46
at home my relationship is stressful right now,relationship,upset,46
honestly i cannot relax at bedtime lately,sleep,tired,41
honestly i feel sad today and it is affecting me,sadness,down,48
at home i feel lonely right now,loneliness,lonely,31
recently i feel panic building up right now,anxiety,nervous,43
recently hello i want to chat and i feel stuck,greeting,neutral,46
sometimes my friend ignored me and i want to feel better,relationship,worried,56
honestly i want to feel better but i do not know what to do,motivation,tired,59
honestly can we talk because it keeps happening,greeting,happy,47
honestly i feel peaceful right now and i want to feel better,positive,hopeful,60
in class i am angry upon you and i need help,anger,frustrated,44
recently i am worried something bad will happen lately,anxiety,overwhelmed,54
i do not know how to fix this relationship and it is affecting me,relationship,worried,65
in class i cannot focus on studying please help me,academic_pressure,worried,50
in class i feel sad today and it is affecting me,sadness,upset,48
sometimes i feel restless and tense because it keeps happening,anxiety,overwhelmed,62
someone close disappointed me because it keeps happening,relationship,sad,56
i feel calm today and i want to feel better,positive,content,43
at night i feel forgotten and it is affecting me,loneliness,sad,48
in class i feel useless and i feel stuck,self_esteem,confused,40
at night i am thankful for my friends but i do not know what to do,gratitude,grateful,66
recently my heart feels heavy please help me,sadness,sad,44
recently i feel exhausted every morning but i do not know what to do,sleep,anxious,68
honestly i feel like i am not good enough lately,self_esteem,insecure,48
honestly i need better sleep lately,sleep,stressed,35
honestly i hate how i look these days,self_esteem,hopeless,37
in class i doubt myself please help me,self_esteem,sad,38
recently i feel nervous today please help me,anxiety,anxious,44
sometimes work is overwhelming lately,stress,overwhelmed,37
sometimes i feel sad today,sadness,hopeless,26
honestly i feel calm today and it is affecting me,positive,determined,49
i keep comparing myself to others and i want to feel better,self_esteem,insecure,59
at night i feel hopeful right now,positive,happy,33
at home i feel stressed and i want to feel better,stress,tired,49
nobody talks to me and it is affecting me,loneliness,down,41
recently help me stay consistent these days,motivation,hopeful,43
i feel peaceful right now and i feel stuck,positive,happy,42
how can i pass my exams and it is affecting me,academic_pressure,overwhelmed,46
at home i feel hopeless right now,sadness,depressed,33
at night my friend ignored me,relationship,sad,29
honestly i feel grateful today please help me,gratitude,happy,45
honestly i miss my friend and i need help,relationship,confused,41
honestly i do not feel confident because it keeps happening,self_esteem,sad,59
at night i cannot control my anger,anger,frustrated,34
recently i cannot stop overthinking these days,anxiety,anxious,46
i feel aggressive right now but i do not know what to do,anger,frustrated,56
in class i cannot control my anger today,anger,angry,40
honestly exam pressure is overwhelming and it is affecting me,academic_pressure,stressed,61
sometimes i am proud of myself and i want to feel better,positive,content,56
at home i feel frustrated with everyone,anger,frustrated,39
at night i need company and i feel stuck,loneliness,down,40
recently help me stay consistent but i do not know what to do,motivation,hopeful,61
sometimes i am afraid of failing,academic_pressure,anxious,32
recently i am angry and i feel stuck,anger,frustrated,36
at night help me stay consistent lately,motivation,determined,39
i need someone to talk to today,greeting,neutral,31
in class i feel lucky to have support lately,gratitude,grateful,44
at home i wake up tired because it keeps happening,sleep,tired,50
at night i cannot sleep but i do not know what to do,sleep,tired,52
in class my mind is overloaded and i want to feel better,stress,overwhelmed,56
at night i want to feel better and it is affecting me,motivation,determined,53
recently i miss my friend today,relationship,upset,31
recently i feel hopeless right now please help me,sadness,hopeless,49
at home i appreciate my family right now,gratitude,grateful,40
at home i do not feel confident please help me,self_esteem,confused,46
i am proud of myself and i want to feel better,positive,happy,46
honestly i am stressed because of exams and it is affecting me,academic_pressure,worried,62
at home i keep overthinking at night these days,sleep,stressed,47
at night i feel empty inside these days,sadness,upset,39
sometimes good morning these days,greeting,neutral,33
in class i doubt myself because it keeps happening,self_esteem,insecure,50
at home i cannot handle all this pressure lately,stress,stressed,48
sometimes i do not know how to fix this relationship and it is affecting me,relationship,sad,75
sometimes i sleep too late today,sleep,stressed,32
at night i hate how i look please help me,self_esteem,hopeless,41
i need encouragement these days,motivation,determined,31
at home i feel depressed today and it is affecting me,sadness,hopeless,53
at home i feel peaceful right now,positive,hopeful,33
at home i am stressed because of exams and i want to feel better,academic_pressure,anxious,64
hi because it keeps happening,greeting,content,29
in class exam pressure is overwhelming these days,academic_pressure,worried,49
in class i cannot sleep because it keeps happening,sleep,stressed,50
sometimes i feel hopeless right now and i feel stuck,sadness,down,52
in class i want to hit something these days,anger,upset,43
honestly i miss having someone close but i do not know what to do,loneliness,down,65
at night thanks that helped me please help me,gratitude,grateful,45
sometimes i feel lucky to have support these days,gratitude,grateful,49
i am sad and tired and it is affecting me,sadness,upset,41
at night my heart is racing and it is affecting me,anxiety,nervous,50
recently i need company please help me,loneliness,sad,38
at home i need someone to talk to right now,greeting,content,43
recently someone close disappointed me and i feel stuck,relationship,sad,55
i hate how i look and i feel stuck,self_esteem,confused,34
at home how can i pass my exams please help me,academic_pressure,stressed,46
at home i appreciate your help right now,gratitude,happy,40
honestly i need encouragement,motivation,tired,29
at home i am angry at my friend,anger,angry,31
honestly i want to build better habits and it is affecting me,motivation,hopeful,61
at night my mind is overloaded and it is affecting me,stress,stressed,53
at home i want to build better habits today,motivation,determined,43
honestly i am worried something bad will happen and i feel stuck,anxiety,overwhelmed,64
at night i miss my friend and i want to feel better,relationship,confused,51
sometimes thanks for being here and i need help,gratitude,content,47
sometimes i had a fight with someone close,relationship,worried,42
at home i feel anxious today,anxiety,nervous,28
sometimes i am confused about my relationship right now,relationship,confused,55
at night i cannot control my anger because it keeps happening,anger,frustrated,61
i am excited about tomorrow but i do not know what to do,positive,determined,56
at home i had a good day and i feel stuck,positive,determined,41
at home i appreciate your help but i do not know what to do,gratitude,content,59
at night i am excited about tomorrow please help me,positive,determined,51
at home thanks that helped me and i feel stuck,gratitude,content,46
how can i start again please help me,motivation,hopeful,36
at home i feel down for no reason please help me,sadness,down,48
sometimes i feel alone even around people today,loneliness,sad,47
i want to cry lately,sadness,hopeless,20
i doubt myself because it keeps happening,self_esteem,hopeless,41
sometimes can we talk and i feel stuck,greeting,content,38
i am sad and tired and i want to feel better,sadness,sad,44
help me stay consistent and i need help,motivation,neutral,39
at home my assignments are too much but i do not know what to do,academic_pressure,worried,64
honestly hello these days,greeting,neutral,25
i am sad and tired but i do not know what to do,sadness,sad,47
at night i hate how i look and i want to feel better,self_esteem,sad,52
recently i cannot focus on studying today,academic_pressure,worried,41
honestly how can i start again lately,motivation,neutral,37
honestly i feel empty inside and it is affecting me,sadness,sad,51
sometimes i feel lucky to have support lately,gratitude,happy,45
honestly everything feels like too much lately,stress,tired,46
at home i miss my friend and i feel stuck,relationship,confused,41
sometimes i appreciate your help and i want to feel better,gratitude,happy,58
my relationship is stressful,relationship,upset,28
honestly how can i start again and it is affecting me,motivation,neutral,53
recently i finally made progress and i feel stuck,positive,happy,49
at night i want to feel better and it is affecting me,motivation,neutral,53
recently i need a break and i need help,stress,tired,39
recently i feel aggressive right now right now,anger,upset,46
sometimes i need encouragement today,motivation,hopeful,36
recently i am stressed because of exams lately,academic_pressure,anxious,46
sometimes i need encouragement and it is affecting me,motivation,hopeful,53
sometimes thank you for listening because it keeps happening,gratitude,happy,60
in class i am worried about my grades but i do not know what to do,academic_pressure,anxious,66
someone close disappointed me right now,relationship,worried,39
recently i feel better now please help me,positive,determined,41
sometimes good evening and i need help,greeting,neutral,38
in class i feel empty inside,sadness,down,28
at home my mind stays awake lately,sleep,stressed,34
i miss my friend right now,relationship,confused,26
i feel frustrated with everyone,anger,upset,31
recently good evening because it keeps happening,greeting,content,48
in class i feel calm today lately,positive,hopeful,33
at home i cannot stop crying and i feel stuck,sadness,upset,45
recently i am worried something bad will happen but i do not know what to do,anxiety,overwhelmed,76
in class i am confused about my relationship,relationship,confused,44
recently i feel like shouting and i need help,anger,upset,45
recently i am confused about my relationship but i do not know what to do,relationship,confused,73
in class i appreciate your help right now,gratitude,grateful,41
in class i keep imagining the worst and it is affecting me,anxiety,nervous,58
honestly i want to improve myself and i need help,motivation,hopeful,49
at night i am stressed because of exams right now,academic_pressure,stressed,49
honestly i am confused about my relationship and i want to feel better,relationship,sad,70
at night i feel down for no reason because it keeps happening,sadness,depressed,61
sometimes i feel panic building up and i feel stuck,anxiety,nervous,51
in class my thoughts are moving too fast and i feel stuck,anxiety,overwhelmed,57
sometimes my heart feels heavy and i need help,sadness,sad,46
i feel peaceful right now and i need help,positive,content,41
at night how can i start again and i feel stuck,motivation,tired,47
at night i wake up tired,sleep,stressed,24
at night i feel more confident and it is affecting me,positive,determined,53
in class i feel burned out and i feel stuck,stress,overwhelmed,43
honestly everyone seems busy without me today,loneliness,sad,45
i am worried something bad will happen and i need help,anxiety,nervous,54
at home thanks for being here right now,gratitude,grateful,39
i feel hopeful,positive,determined,14
i miss having someone close and i want to feel better,loneliness,lonely,53
in class are you there and i feel stuck,greeting,neutral,39
at home they do not understand me and i feel stuck,relationship,upset,50
honestly i keep comparing myself to others,self_esteem,sad,42
recently i need someone to talk to,greeting,neutral,34
recently my relationship is stressful right now,relationship,confused,47
honestly i sleep too late please help me,sleep,stressed,40
recently i feel exhausted every morning and it is affecting me,sleep,anxious,62
in class i sleep too late,sleep,stressed,25
at home i need someone to talk to and i feel stuck,greeting,content,50
at home i feel grateful today please help me,gratitude,grateful,44
sometimes i am excited about tomorrow right now,positive,content,47
in class i cannot sleep today,sleep,tired,29
at night i feel depressed today and i want to feel better,sadness,depressed,57
at home i feel panic building up and it is affecting me,anxiety,overwhelmed,55
thank you i feel supported,gratitude,grateful,26
at home i am scared about the future but i do not know what to do,anxiety,anxious,65
at home i am angry at my friend and i want to feel better,anger,upset,57
honestly i am angry upon you and i feel stuck,anger,upset,45
in class i have no one to share this with and i feel stuck,loneliness,down,58
sometimes i feel like i am not good enough lately,self_esteem,hopeless,49
my mind stays awake these days,sleep,tired,30
sometimes i have too many responsibilities today,stress,frustrated,48
sometimes i have too many responsibilities today,stress,tired,48
in class i need a break today,stress,tired,29
in class someone close disappointed me and it is affecting me,relationship,confused,61
at home i feel worthless sometimes these days,self_esteem,insecure,45
