text,intent,emotion,text_length,processed_text,processed_length
recently i cannot focus on studying these days,academic_pressure,anxious,46,recently focus studying day,27
sometimes i am thankful for my friends and i want to feel better,gratitude,content,64,sometimes thankful friend want feel better,42
in class good evening because it keeps happening,greeting,happy,48,class good evening keep happening,33
recently i cannot control my anger lately,anger,frustrated,41,recently control anger lately,29
honestly nothing feels good today today,sadness,hopeless,39,honestly nothing feel good today today,38
sometimes i appreciate my family and i want to feel better,gratitude,happy,58,sometimes appreciate family want feel better,44
at night i doubt myself these days,self_esteem,sad,34,night doubt day,15
hey there,greeting,neutral,9,hey,3
in class good morning right now,greeting,content,31,class good morning right,24
in class i am worried about my grades,academic_pressure,stressed,37,class worried grade,19
honestly my mind is overloaded and it is affecting me,stress,tired,53,honestly mind overloaded affecting,34
recently my assignments are too much,academic_pressure,worried,36,recently assignment much,24
in class i am worried about my grades but i do not know what to do,academic_pressure,stressed,66,class worried grade know,24
recently i cannot handle all this pressure and i feel stuck,stress,frustrated,59,recently handle pressure feel stuck,35
at night i am happy today but i do not know what to do,positive,content,54,night happy today know,22
at night i feel rejected these days,relationship,sad,35,night feel rejected day,23
honestly i cannot relax at bedtime and i feel stuck,sleep,tired,51,honestly relax bedtime feel stuck,33
recently i need a small step to begin these days,motivation,tired,48,recently need small step begin day,34
i feel isolated but i do not know what to do,loneliness,down,44,feel isolated know,18
honestly my friend ignored me today,relationship,worried,35,honestly friend ignored today,29
sometimes i feel hopeless right now these days,sadness,hopeless,46,sometimes feel hopeless right day,33
recently i cannot stop crying and it is affecting me,sadness,upset,52,recently stop cry affecting,27
honestly my mind is overloaded,stress,overwhelmed,30,honestly mind overloaded,24
recently my heart is racing and i want to feel better,anxiety,nervous,53,recently heart racing want feel better,38
at home nobody talks to me please help me,loneliness,lonely,41,home nobody talk please help,28
sometimes i am confused about my relationship and i feel stuck,relationship,confused,62,sometimes confused relationship feel stuck,42
recently good morning and i need help,greeting,content,37,recently good morning need help,31
sometimes i am worried about my grades and it is affecting me,academic_pressure,worried,61,sometimes worried grade affecting,33
in class i appreciate my family please help me,gratitude,happy,46,class appreciate family please help,35
at home i need help planning my studies lately,academic_pressure,worried,46,home need help planning study lately,36
recently i feel more confident and i want to feel better,positive,happy,56,recently feel confident want feel better,40
i am getting mad but i do not know what to do,anger,upset,45,getting mad know,16
sometimes i need encouragement right now,motivation,tired,40,sometimes need encouragement right,34
recently i am sad and tired today,sadness,depressed,33,recently sad tired today,24
at night i am angry at my friend,anger,upset,32,night angry friend,18
at home my sleep is disturbed but i do not know what to do,sleep,tired,58,home sleep disturbed know,25
honestly i appreciate your help today,gratitude,grateful,37,honestly appreciate help today,30
recently i feel panic building up please help me,anxiety,overwhelmed,48,recently feel panic building please help,40
at home i cannot stop crying lately,sadness,sad,35,home stop cry lately,20
i need encouragement and i need help,motivation,neutral,36,need encouragement need help,28
honestly i feel more confident and i feel stuck,positive,content,47,honestly feel confident feel stuck,34
sometimes i do not know how to fix this relationship but i do not know what to do,relationship,sad,81,sometimes know fix relationship know,36
at home i feel restless and tense but i do not know what to do,anxiety,worried,62,home feel restless tense know,29
at night i have no one to share this with these days,loneliness,lonely,52,night one share day,19
at night i feel down for no reason and i want to feel better,sadness,depressed,60,night feel reason want feel better,34
honestly i have trouble falling asleep but i do not know what to do,sleep,stressed,67,honestly trouble falling asleep know,36
in class my thoughts are moving too fast,anxiety,worried,40,class thought moving fast,25
at night i feel like i am not good enough,self_esteem,hopeless,41,night feel like good enough,27
at home i miss having someone close and it is affecting me,loneliness,down,58,home miss someone close affecting,33
i sleep too late and i need help,sleep,stressed,32,sleep late need help,20
recently help me stay consistent but i do not know what to do,motivation,determined,61,recently help stay consistent know,34
honestly i feel depressed today and i want to feel better,sadness,hopeless,57,honestly feel depressed today want feel better,46
at home i am thankful for my friends and i want to feel better,gratitude,happy,62,home thankful friend want feel better,37
at home i feel grateful today right now,gratitude,happy,39,home feel grateful today right,30
at home good evening lately,greeting,happy,27,home good evening lately,24
at home someone close disappointed me because it keeps happening,relationship,sad,64,home someone close disappointed keep happening,46
in class nothing feels good today please help me,sadness,sad,48,class nothing feel good today please help,41
at night i doubt myself because it keeps happening,self_esteem,sad,50,night doubt keep happening,26
recently exam pressure is overwhelming today,academic_pressure,overwhelmed,44,recently exam pressure overwhelming today,41
recently i am angry at my friend lately,anger,upset,39,recently angry friend lately,28
sometimes i hate how i look and i feel stuck,self_esteem,sad,44,sometimes hate look feel stuck,30
honestly i am getting mad please help me,anger,upset,40,honestly getting mad please help,32
at night i feel rejected please help me,relationship,worried,39,night feel rejected please help,31
honestly i feel depressed today and i feel stuck,sadness,hopeless,48,honestly feel depressed today feel stuck,40
i feel left out right now,loneliness,lonely,25,feel left right,15
in class everything feels like too much but i do not know what to do,stress,frustrated,68,class everything feel like much know,36
sometimes i cannot control my anger lately,anger,angry,42,sometimes control anger lately,30
sometimes i feel depressed today and i need help,sadness,down,48,sometimes feel depressed today need help,40
honestly i feel useless and i feel stuck,self_esteem,confused,40,honestly feel useless feel stuck,32
honestly i cannot believe in myself,self_esteem,confused,35,honestly believe,16
honestly i am angry and i want to feel better,anger,angry,45,honestly angry want feel better,31
at home i had a fight with someone close because it keeps happening,relationship,confused,67,home fight someone close keep happening,39
honestly i feel lonely today,loneliness,lonely,28,honestly feel lonely today,26
honestly i need a break lately,stress,overwhelmed,30,honestly need break lately,26
recently i want to keep going these days,motivation,neutral,40,recently want keep going day,28
in class i need someone to talk to and i feel stuck,greeting,content,51,class need someone talk feel stuck,34
i cannot believe in myself,self_esteem,insecure,26,believe,7
at home i feel sad today and i feel stuck,sadness,sad,41,home feel sad today feel stuck,30
i feel more confident and i want to feel better,positive,content,47,feel confident want feel better,31
honestly i feel panic building up because it keeps happening,anxiety,overwhelmed,60,honestly feel panic building keep happening,43
at home someone made me furious and it is affecting me,anger,upset,54,home someone made furious affecting,35
recently i am worried about my grades,academic_pressure,overwhelmed,37,recently worried grade,22
at night i feel nervous today right now,anxiety,overwhelmed,39,night feel nervous today right,30
at night i feel hurt by someone i love because it keeps happening,relationship,sad,65,night feel hurt someone love keep happening,43
honestly thank you i feel supported because it keeps happening,gratitude,happy,62,honestly thank feel supported keep happening,44
at home how can i start again and it is affecting me,motivation,neutral,52,home start affecting,20
at night i am angry at my friend please help me,anger,frustrated,47,night angry friend please help,30
in class my relationship is stressful and i feel stuck,relationship,confused,54,class relationship stressful feel stuck,39
recently i cannot stop overthinking lately,anxiety,worried,42,recently stop overthinking lately,33
honestly i need motivation and i want to feel better,motivation,tired,52,honestly need motivation want feel better,41
i doubt myself today,self_esteem,confused,20,doubt today,11
sometimes my mind stays awake and i want to feel better,sleep,tired,55,sometimes mind stay awake want feel better,42
sometimes i feel rejected but i do not know what to do,relationship,confused,54,sometimes feel rejected know,28
recently i need motivation and i feel stuck,motivation,neutral,43,recently need motivation feel stuck,35
at night help me stay consistent and i need help,motivation,hopeful,48,night help stay consistent need help,36
at night i feel anxious and i feel stuck,anxiety,anxious,40,night feel anxious feel stuck,29
i feel frustrated with everyone and it is affecting me,anger,frustrated,54,feel frustrated everyone affecting,34
at home my thoughts are moving too fast but i do not know what to do,anxiety,worried,68,home thought moving fast know,29
at night i am angry at my friend today,anger,upset,38,night angry friend today,24
i feel more confident right now,positive,happy,31,feel confident right,20
at night i need a break today,stress,overwhelmed,29,night need break today,22
i need help planning my studies and i need help,academic_pressure,overwhelmed,47,need help planning study need help,34
sometimes help me stay consistent please help me,motivation,neutral,48,sometimes help stay consistent please help,42
honestly i cannot stop overthinking because it keeps happening,anxiety,overwhelmed,62,honestly stop overthinking keep happening,41
at home hey can you listen to me today,greeting,content,38,home hey listen today,21
sometimes i feel alone even around people today,loneliness,lonely,47,sometimes feel alone even around people today,45
at home i am happy today,positive,hopeful,24,home happy today,16
sometimes i miss my friend today,relationship,worried,32,sometimes miss friend today,27
recently i am confused about my relationship lately,relationship,worried,51,recently confused relationship lately,37
recently i cannot stop crying and i feel stuck,sadness,sad,46,recently stop cry feel stuck,28
at home my relationship is stressful right now,relationship,upset,46,home relationship stressful right,33
honestly i cannot relax at bedtime lately,sleep,tired,41,honestly relax bedtime lately,29
honestly i feel sad today and it is affecting me,sadness,down,48,honestly feel sad today affecting,33
at home i feel lonely right now,loneliness,lonely,31,home feel lonely right,22
recently i feel panic building up right now,anxiety,nervous,43,recently feel panic building right,34
recently hello i want to chat and i feel stuck,greeting,neutral,46,recently hello want chat feel stuck,35
sometimes my friend ignored me and i want to feel better,relationship,worried,56,sometimes friend ignored want feel better,41
honestly i want to feel better but i do not know what to do,motivation,tired,59,honestly want feel better know,30
honestly can we talk because it keeps happening,greeting,happy,47,honestly talk keep happening,28
honestly i feel peaceful right now and i want to feel better,positive,hopeful,60,honestly feel peaceful right want feel better,45
in class i am angry upon you and i need help,anger,frustrated,44,class angry upon need help,26
recently i am worried something bad will happen lately,anxiety,overwhelmed,54,recently worried something bad happen lately,44
i do not know how to fix this relationship and it is affecting me,relationship,worried,65,know fix relationship affecting,31
in class i cannot focus on studying please help me,academic_pressure,worried,50,class focus studying please help,32
in class i feel sad today and it is affecting me,sadness,upset,48,class feel sad today affecting,30
sometimes i feel restless and tense because it keeps happening,anxiety,overwhelmed,62,sometimes feel restless tense keep happening,44
someone close disappointed me because it keeps happening,relationship,sad,56,someone close disappointed keep happening,41
i feel calm today and i want to feel better,positive,content,43,feel calm today want feel better,32
at night i feel forgotten and it is affecting me,loneliness,sad,48,night feel forgotten affecting,30
in class i feel useless and i feel stuck,self_esteem,confused,40,class feel useless feel stuck,29
at night i am thankful for my friends but i do not know what to do,gratitude,grateful,66,night thankful friend know,26
recently my heart feels heavy please help me,sadness,sad,44,recently heart feel heavy please help,37
recently i feel exhausted every morning but i do not know what to do,sleep,anxious,68,recently feel exhausted every morning know,42
honestly i feel like i am not good enough lately,self_esteem,insecure,48,honestly feel like good enough lately,37
honestly i need better sleep lately,sleep,stressed,35,honestly need better sleep lately,33
honestly i hate how i look these days,self_esteem,hopeless,37,honestly hate look day,22
in class i doubt myself please help me,self_esteem,sad,38,class doubt please help,23
recently i feel nervous today please help me,anxiety,anxious,44,recently feel nervous today please help,39
sometimes work is overwhelming lately,stress,overwhelmed,37,sometimes work overwhelming lately,34
sometimes i feel sad today,sadness,hopeless,26,sometimes feel sad today,24
honestly i feel calm today and it is affecting me,positive,determined,49,honestly feel calm today affecting,34
i keep comparing myself to others and i want to feel better,self_esteem,insecure,59,keep comparing others want feel better,38
at night i feel hopeful right now,positive,happy,33,night feel hopeful right,24
at home i feel stressed and i want to feel better,stress,tired,49,home feel stressed want feel better,35
nobody talks to me and it is affecting me,loneliness,down,41,nobody talk affecting,21
recently help me stay consistent these days,motivation,hopeful,43,recently help stay consistent day,33
i feel peaceful right now and i feel stuck,positive,happy,42,feel peaceful right feel stuck,30
how can i pass my exams and it is affecting me,academic_pressure,overwhelmed,46,pas exam affecting,18
at home i feel hopeless right now,sadness,depressed,33,home feel hopeless right,24
at night my friend ignored me,relationship,sad,29,night friend ignored,20
honestly i feel grateful today please help me,gratitude,happy,45,honestly feel grateful today please help,40
honestly i miss my friend and i need help,relationship,confused,41,honestly miss friend need help,30
honestly i do not feel confident because it keeps happening,self_esteem,sad,59,honestly feel confident keep happening,38
at night i cannot control my anger,anger,frustrated,34,night control anger,19
recently i cannot stop overthinking these days,anxiety,anxious,46,recently stop overthinking day,30
i feel aggressive right now but i do not know what to do,anger,frustrated,56,feel aggressive right know,26
in class i cannot control my anger today,anger,angry,40,class control anger today,25
honestly exam pressure is overwhelming and it is affecting me,academic_pressure,stressed,61,honestly exam pressure overwhelming affecting,45
sometimes i am proud of myself and i want to feel better,positive,content,56,sometimes proud want feel better,32
at home i feel frustrated with everyone,anger,frustrated,39,home feel frustrated everyone,29
at night i need company and i feel stuck,loneliness,down,40,night need company feel stuck,29
recently help me stay consistent but i do not know what to do,motivation,hopeful,61,recently help stay consistent know,34
sometimes i am afraid of failing,academic_pressure,anxious,32,sometimes afraid failing,24
recently i am angry and i feel stuck,anger,frustrated,36,recently angry feel stuck,25
at night help me stay consistent lately,motivation,determined,39,night help stay consistent lately,33
i need someone to talk to today,greeting,neutral,31,need someone talk today,23
in class i feel lucky to have support lately,gratitude,grateful,44,class feel lucky support lately,31
at home i wake up tired because it keeps happening,sleep,tired,50,home wake tired keep happening,30
at night i cannot sleep but i do not know what to do,sleep,tired,52,night sleep know,16
in class my mind is overloaded and i want to feel better,stress,overwhelmed,56,class mind overloaded want feel better,38
at night i want to feel better and it is affecting me,motivation,determined,53,night want feel better affecting,32
recently i miss my friend today,relationship,upset,31,recently miss friend today,26
recently i feel hopeless right now please help me,sadness,hopeless,49,recently feel hopeless right please help,40
at home i appreciate my family right now,gratitude,grateful,40,home appreciate family right,28
at home i do not feel confident please help me,self_esteem,confused,46,home feel confident please help,31
i am proud of myself and i want to feel better,positive,happy,46,proud want feel better,22
honestly i am stressed because of exams and it is affecting me,academic_pressure,worried,62,honestly stressed exam affecting,32
at home i keep overthinking at night these days,sleep,stressed,47,home keep overthinking night day,32
at night i feel empty inside these days,sadness,upset,39,night feel empty inside day,27
sometimes good morning these days,greeting,neutral,33,sometimes good morning day,26
in class i doubt myself because it keeps happening,self_esteem,insecure,50,class doubt keep happening,26
at home i cannot handle all this pressure lately,stress,stressed,48,home handle pressure lately,27
sometimes i do not know how to fix this relationship and it is affecting me,relationship,sad,75,sometimes know fix relationship affecting,41
sometimes i sleep too late today,sleep,stressed,32,sometimes sleep late today,26
at night i hate how i look please help me,self_esteem,hopeless,41,night hate look please help,27
i need encouragement these days,motivation,determined,31,need encouragement day,22
at home i feel depressed today and it is affecting me,sadness,hopeless,53,home feel depressed today affecting,35
at home i feel peaceful right now,positive,hopeful,33,home feel peaceful right,24
at home i am stressed because of exams and i want to feel better,academic_pressure,anxious,64,home stressed exam want feel better,35
hi because it keeps happening,greeting,content,29,hi keep happening,17
in class exam pressure is overwhelming these days,academic_pressure,worried,49,class exam pressure overwhelming day,36
in class i cannot sleep because it keeps happening,sleep,stressed,50,class sleep keep happening,26
sometimes i feel hopeless right now and i feel stuck,sadness,down,52,sometimes feel hopeless right feel stuck,40
in class i want to hit something these days,anger,upset,43,class want hit something day,28
honestly i miss having someone close but i do not know what to do,loneliness,down,65,honestly miss someone close know,32
at night thanks that helped me please help me,gratitude,grateful,45,night thanks helped please help,31
sometimes i feel lucky to have support these days,gratitude,grateful,49,sometimes feel lucky support day,32
i am sad and tired and it is affecting me,sadness,upset,41,sad tired affecting,19
at night my heart is racing and it is affecting me,anxiety,nervous,50,night heart racing affecting,28
recently i need company please help me,loneliness,sad,38,recently need company please help,33
at home i need someone to talk to right now,greeting,content,43,home need someone talk right,28
recently someone close disappointed me and i feel stuck,relationship,sad,55,recently someone close disappointed feel stuck,46
i hate how i look and i feel stuck,self_esteem,confused,34,hate look feel stuck,20
at home how can i pass my exams please help me,academic_pressure,stressed,46,home pas exam please help,25
at home i appreciate your help right now,gratitude,happy,40,home appreciate help right,26
honestly i need encouragement,motivation,tired,29,honestly need encouragement,27
at home i am angry at my friend,anger,angry,31,home angry friend,17
honestly i want to build better habits and it is affecting me,motivation,hopeful,61,honestly want build better habit affecting,42
at night my mind is overloaded and it is affecting me,stress,stressed,53,night mind overloaded affecting,31
at home i want to build better habits today,motivation,determined,43,home want build better habit today,34
honestly i am worried something bad will happen and i feel stuck,anxiety,overwhelmed,64,honestly worried something bad happen feel stuck,48
at night i miss my friend and i want to feel better,relationship,confused,51,night miss friend want feel better,34
sometimes thanks for being here and i need help,gratitude,content,47,sometimes thanks need help,26
sometimes i had a fight with someone close,relationship,worried,42,sometimes fight someone close,29
at home i feel anxious today,anxiety,nervous,28,home feel anxious today,23
sometimes i am confused about my relationship right now,relationship,confused,55,sometimes confused relationship right,37
at night i cannot control my anger because it keeps happening,anger,frustrated,61,night control anger keep happening,34
i am excited about tomorrow but i do not know what to do,positive,determined,56,excited tomorrow know,21
at home i had a good day and i feel stuck,positive,determined,41,home good day feel stuck,24
at home i appreciate your help but i do not know what to do,gratitude,content,59,home appreciate help know,25
at night i am excited about tomorrow please help me,positive,determined,51,night excited tomorrow please help,34
at home thanks that helped me and i feel stuck,gratitude,content,46,home thanks helped feel stuck,29
how can i start again please help me,motivation,hopeful,36,start please help,17
at home i feel down for no reason please help me,sadness,down,48,home feel reason please help,28
sometimes i feel alone even around people today,loneliness,sad,47,sometimes feel alone even around people today,45
i want to cry lately,sadness,hopeless,20,want cry lately,15
i doubt myself because it keeps happening,self_esteem,hopeless,41,doubt keep happening,20
sometimes can we talk and i feel stuck,greeting,content,38,sometimes talk feel stuck,25
i am sad and tired and i want to feel better,sadness,sad,44,sad tired want feel better,26
help me stay consistent and i need help,motivation,neutral,39,help stay consistent need help,30
at home my assignments are too much but i do not know what to do,academic_pressure,worried,64,home assignment much know,25
honestly hello these days,greeting,neutral,25,honestly hello day,18
i am sad and tired but i do not know what to do,sadness,sad,47,sad tired know,14
at night i hate how i look and i want to feel better,self_esteem,sad,52,night hate look want feel better,32
recently i cannot focus on studying today,academic_pressure,worried,41,recently focus studying today,29
honestly how can i start again lately,motivation,neutral,37,honestly start lately,21
honestly i feel empty inside and it is affecting me,sadness,sad,51,honestly feel empty inside affecting,36
sometimes i feel lucky to have support lately,gratitude,happy,45,sometimes feel lucky support lately,35
honestly everything feels like too much lately,stress,tired,46,honestly everything feel like much lately,41
at home i miss my friend and i feel stuck,relationship,confused,41,home miss friend feel stuck,27
sometimes i appreciate your help and i want to feel better,gratitude,happy,58,sometimes appreciate help want feel better,42
my relationship is stressful,relationship,upset,28,relationship stressful,22
honestly how can i start again and it is affecting me,motivation,neutral,53,honestly start affecting,24
recently i finally made progress and i feel stuck,positive,happy,49,recently finally made progress feel stuck,41
at night i want to feel better and it is affecting me,motivation,neutral,53,night want feel better affecting,32
recently i need a break and i need help,stress,tired,39,recently need break need help,29
recently i feel aggressive right now right now,anger,upset,46,recently feel aggressive right right,36
sometimes i need encouragement today,motivation,hopeful,36,sometimes need encouragement today,34
recently i am stressed because of exams lately,academic_pressure,anxious,46,recently stressed exam lately,29
sometimes i need encouragement and it is affecting me,motivation,hopeful,53,sometimes need encouragement affecting,38
sometimes thank you for listening because it keeps happening,gratitude,happy,60,sometimes thank listening keep happening,40
in class i am worried about my grades but i do not know what to do,academic_pressure,anxious,66,class worried grade know,24
someone close disappointed me right now,relationship,worried,39,someone close disappointed right,32
recently i feel better now please help me,positive,determined,41,recently feel better please help,32
sometimes good evening and i need help,greeting,neutral,38,sometimes good evening need help,32
in class i feel empty inside,sadness,down,28,class feel empty inside,23
at home my mind stays awake lately,sleep,stressed,34,home mind stay awake lately,27
i miss my friend right now,relationship,confused,26,miss friend right,17
i feel frustrated with everyone,anger,upset,31,feel frustrated everyone,24
recently good evening because it keeps happening,greeting,content,48,recently good evening keep happening,36
in class i feel calm today lately,positive,hopeful,33,class feel calm today lately,28
at home i cannot stop crying and i feel stuck,sadness,upset,45,home stop cry feel stuck,24
recently i am worried something bad will happen but i do not know what to do,anxiety,overwhelmed,76,recently worried something bad happen know,42
in class i am confused about my relationship,relationship,confused,44,class confused relationship,27
recently i feel like shouting and i need help,anger,upset,45,recently feel like shouting need help,37
recently i am confused about my relationship but i do not know what to do,relationship,confused,73,recently confused relationship know,35
in class i appreciate your help right now,gratitude,grateful,41,class appreciate help right,27
in class i keep imagining the worst and it is affecting me,anxiety,nervous,58,class keep imagining worst affecting,36
honestly i want to improve myself and i need help,motivation,hopeful,49,honestly want improve need help,31
at night i am stressed because of exams right now,academic_pressure,stressed,49,night stressed exam right,25
honestly i am confused about my relationship and i want to feel better,relationship,sad,70,honestly confused relationship want feel better,47
at night i feel down for no reason because it keeps happening,sadness,depressed,61,night feel reason keep happening,32
sometimes i feel panic building up and i feel stuck,anxiety,nervous,51,sometimes feel panic building feel stuck,40
in class my thoughts are moving too fast and i feel stuck,anxiety,overwhelmed,57,class thought moving fast feel stuck,36
sometimes my heart feels heavy and i need help,sadness,sad,46,sometimes heart feel heavy need help,36
i feel peaceful right now and i need help,positive,content,41,feel peaceful right need help,29
at night how can i start again and i feel stuck,motivation,tired,47,night start feel stuck,22
at night i wake up tired,sleep,stressed,24,night wake tired,16
at night i feel more confident and it is affecting me,positive,determined,53,night feel confident affecting,30
in class i feel burned out and i feel stuck,stress,overwhelmed,43,class feel burned feel stuck,28
honestly everyone seems busy without me today,loneliness,sad,45,honestly everyone seems busy without today,42
i am worried something bad will happen and i need help,anxiety,nervous,54,worried something bad happen need help,38
at home thanks for being here right now,gratitude,grateful,39,home thanks right,17
i feel hopeful,positive,determined,14,feel hopeful,12
i miss having someone close and i want to feel better,loneliness,lonely,53,miss someone close want feel better,35
in class are you there and i feel stuck,greeting,neutral,39,class feel stuck,16
at home they do not understand me and i feel stuck,relationship,upset,50,home understand feel stuck,26
honestly i keep comparing myself to others,self_esteem,sad,42,honestly keep comparing others,30
recently i need someone to talk to,greeting,neutral,34,recently need someone talk,26
recently my relationship is stressful right now,relationship,confused,47,recently relationship stressful right,37
honestly i sleep too late please help me,sleep,stressed,40,honestly sleep late please help,31
recently i feel exhausted every morning and it is affecting me,sleep,anxious,62,recently feel exhausted every morning affecting,47
in class i sleep too late,sleep,stressed,25,class sleep late,16
at home i need someone to talk to and i feel stuck,greeting,content,50,home need someone talk feel stuck,33
at home i feel grateful today please help me,gratitude,grateful,44,home feel grateful today please help,36
sometimes i am excited about tomorrow right now,positive,content,47,sometimes excited tomorrow right,32
in class i cannot sleep today,sleep,tired,29,class sleep today,17
at night i feel depressed today and i want to feel better,sadness,depressed,57,night feel depressed today want feel better,43
at home i feel panic building up and it is affecting me,anxiety,overwhelmed,55,home feel panic building affecting,34
thank you i feel supported,gratitude,grateful,26,thank feel supported,20
at home i am scared about the future but i do not know what to do,anxiety,anxious,65,home scared future know,23
at home i am angry at my friend and i want to feel better,anger,upset,57,home angry friend want feel better,34
honestly i am angry upon you and i feel stuck,anger,upset,45,honestly angry upon feel stuck,30
in class i have no one to share this with and i feel stuck,loneliness,down,58,class one share feel stuck,26
sometimes i feel like i am not good enough lately,self_esteem,hopeless,49,sometimes feel like good enough lately,38
my mind stays awake these days,sleep,tired,30,mind stay awake day,19
sometimes i have too many responsibilities today,stress,frustrated,48,sometimes many responsibility today,35
sometimes i have too many responsibilities today,stress,tired,48,sometimes many responsibility today,35
in class i need a break today,stress,tired,29,class need break today,22
in class someone close disappointed me and it is affecting me,relationship,confused,61,class someone close disappointed affecting,42
at home i feel worthless sometimes these days,self_esteem,insecure,45,home feel worthless sometimes day,33
at home everyone seems busy without me because it keeps happening,loneliness,lonely,65,home everyone seems busy without keep happening,47
at home i feel grateful today and i want to feel better,gratitude,happy,55,home feel grateful today want feel better,41
sometimes i feel down for no reason,sadness,down,35,sometimes feel reason,21
recently i feel burned out and i want to feel better,stress,frustrated,52,recently feel burned want feel better,37
recently are you there and i feel stuck,greeting,happy,39,recently feel stuck,19
recently i feel sad today because it keeps happening,sadness,down,52,recently feel sad today keep happening,38
recently i cannot believe in myself and it is affecting me,self_esteem,insecure,58,recently believe affecting,26
honestly i feel worthless sometimes lately,self_esteem,insecure,42,honestly feel worthless sometimes lately,40
sometimes i doubt myself,self_esteem,insecure,24,sometimes doubt,15
at night i need a small step to begin and i feel stuck,motivation,tired,54,night need small step begin feel stuck,38
exam pressure is overwhelming but i do not know what to do,academic_pressure,overwhelmed,58,exam pressure overwhelming know,31
sometimes i cannot sleep please help me,sleep,tired,39,sometimes sleep please help,27
recently my heart is racing and i need help,anxiety,worried,43,recently heart racing need help,31
i want to feel better and it is affecting me,motivation,hopeful,44,want feel better affecting,26
in class i keep imagining the worst today,anxiety,worried,41,class keep imagining worst today,32
at home i feel aggressive right now please help me,anger,upset,50,home feel aggressive right please help,38
recently i keep comparing myself to others right now,self_esteem,insecure,52,recently keep comparing others right,36
at home my relationship is stressful and it is affecting me,relationship,sad,59,home relationship stressful affecting,37
sometimes i am happy today,positive,determined,26,sometimes happy today,21
in class hi right now,greeting,content,21,class hi right,14
at home i doubt myself because it keeps happening,self_esteem,insecure,49,home doubt keep happening,25
i finally made progress please help me,positive,happy,38,finally made progress please help,33
sometimes i feel calm today lately,positive,happy,34,sometimes feel calm today lately,32
in class i need company,loneliness,down,23,class need company,18
honestly i have too many responsibilities and i want to feel better,stress,stressed,67,honestly many responsibility want feel better,45
at night i am getting mad and it is affecting me,anger,angry,48,night getting mad affecting,27
recently i feel panic building up and i feel stuck,anxiety,anxious,50,recently feel panic building feel stuck,39
i have too many responsibilities and i feel stuck,stress,frustrated,49,many responsibility feel stuck,30
in class i had a fight with someone close but i do not know what to do,relationship,upset,70,class fight someone close know,30
sometimes i feel like i am not good enough and i want to feel better,self_esteem,insecure,68,sometimes feel like good enough want feel better,48
honestly i cannot relax at bedtime these days,sleep,stressed,45,honestly relax bedtime day,26
recently i feel sad today please help me,sadness,down,40,recently feel sad today please help,35
at home exam pressure is overwhelming and i feel stuck,academic_pressure,worried,54,home exam pressure overwhelming feel stuck,42
honestly hey can you listen to me lately,greeting,neutral,40,honestly hey listen lately,26
sometimes my thoughts are moving too fast and i feel stuck,anxiety,anxious,58,sometimes thought moving fast feel stuck,40
sometimes i have too many responsibilities and it is affecting me,stress,tired,65,sometimes many responsibility affecting,39
at home i am excited about tomorrow and i need help,positive,determined,51,home excited tomorrow need help,31
sometimes i feel panic building up today,anxiety,anxious,40,sometimes feel panic building today,35
at home i am confused about my relationship today,relationship,sad,49,home confused relationship today,32
honestly i feel like i am not good enough right now,self_esteem,insecure,51,honestly feel like good enough right,36
i feel empty inside but i do not know what to do,sadness,sad,48,feel empty inside know,22
honestly my sleep is disturbed today,sleep,stressed,36,honestly sleep disturbed today,30
honestly exam pressure is overwhelming but i do not know what to do,academic_pressure,anxious,67,honestly exam pressure overwhelming know,40
honestly i am getting mad,anger,frustrated,25,honestly getting mad,20
in class hello these days,greeting,happy,25,class hello day,15
at home my relationship is stressful and i need help,relationship,confused,52,home relationship stressful need help,37
honestly i am tired of dealing with problems and it is affecting me,stress,stressed,67,honestly tired dealing problem affecting,40
in class i feel exhausted every morning and i want to feel better,sleep,anxious,65,class feel exhausted every morning want feel better,51
at home someone close disappointed me today,relationship,upset,43,home someone close disappointed today,37
at night i feel worthless sometimes lately,self_esteem,confused,42,night feel worthless sometimes lately,37
at night my sleep is disturbed because it keeps happening,sleep,stressed,57,night sleep disturbed keep happening,36
at night my heart feels heavy and it is affecting me,sadness,down,52,night heart feel heavy affecting,32
honestly i am happy today and i need help,positive,content,41,honestly happy today need help,30
at home i cannot stop overthinking and i feel stuck,anxiety,nervous,51,home stop overthinking feel stuck,33
at home i feel rejected and it is affecting me,relationship,confused,46,home feel rejected affecting,28
sometimes i feel burned out because it keeps happening,stress,overwhelmed,54,sometimes feel burned keep happening,36
recently i do not feel confident and i need help,self_esteem,hopeless,48,recently feel confident need help,33
recently i cannot control my anger lately,anger,upset,41,recently control anger lately,29
recently hey there,greeting,neutral,18,recently hey,12
recently i feel like i am not good enough and it is affecting me,self_esteem,sad,64,recently feel like good enough affecting,40
sometimes i cannot stop overthinking and i feel stuck,anxiety,overwhelmed,53,sometimes stop overthinking feel stuck,38
honestly i feel isolated please help me,loneliness,lonely,39,honestly feel isolated please help,34
honestly i need better sleep and it is affecting me,sleep,stressed,51,honestly need better sleep affecting,36
in class i am getting mad and i feel stuck,anger,frustrated,42,class getting mad feel stuck,28
at night i feel left out and i need help,loneliness,down,40,night feel left need help,25
in class i keep imagining the worst and it is affecting me,anxiety,overwhelmed,58,class keep imagining worst affecting,36
sometimes i sleep too late because it keeps happening,sleep,stressed,53,sometimes sleep late keep happening,35
