text,intent,emotion
i need help planning my studies because it keeps happening,academic_pressure,anxious
i miss having someone close right now,loneliness,sad
i cannot stop crying these days,sadness,down
sometimes i have too many responsibilities and i need help,stress,overwhelmed
at home i feel burned out lately,stress,overwhelmed
thank you i feel supported and i want to feel better,gratitude,content
sometimes i need better sleep these days,sleep,anxious
i keep overthinking at night and it is affecting me,sleep,stressed
recently good morning please help me,greeting,content
at home i am happy today right now,positive,content
at home good evening right now,greeting,neutral
recently i want to build better habits,motivation,hopeful
honestly my heart feels heavy because it keeps happening,sadness,upset
honestly i am sad and tired lately,sadness,upset
in class good evening,greeting,content
honestly i keep overthinking at night and it is affecting me,sleep,anxious
sometimes i need a small step to begin right now,motivation,determined
in class i am scared i will disappoint everyone because it keeps happening,self_esteem,insecure
at home i need better sleep because it keeps happening,sleep,tired
at night i cannot believe in myself please help me,self_esteem,sad
in class hey there and i want to feel better,greeting,happy
honestly i need motivation lately,motivation,determined
sometimes i feel sad today and i feel stuck,sadness,down
sometimes i feel grateful today because it keeps happening,gratitude,grateful
at night i cannot focus on studying and i feel stuck,academic_pressure,overwhelmed
at home i am scared about the future but i do not know what to do,anxiety,worried
honestly i need someone to talk to today,greeting,content
at night i procrastinated and exams are near these days,academic_pressure,worried
honestly i feel empty inside and it is affecting me,sadness,upset
sometimes good evening these days,greeting,neutral
recently i feel useless because it keeps happening,self_esteem,insecure
recently my friend ignored me lately,relationship,sad
at night hello i want to chat today,greeting,content
recently i need better sleep and i want to feel better,sleep,anxious
recently i feel lazy but want to change lately,motivation,hopeful
recently i do not know how to fix this relationship and it is affecting me,relationship,sad
honestly i cannot focus on studying and it is affecting me,academic_pressure,anxious
recently good morning but i do not know what to do,greeting,content
at home i feel isolated but i do not know what to do,loneliness,lonely
honestly i need help planning my studies but i do not know what to do,academic_pressure,worried
recently i want to improve myself and it is affecting me,motivation,determined
recently i need motivation and i need help,motivation,determined
recently i have no one to share this with and i feel stuck,loneliness,lonely
at home i am excited about tomorrow today,positive,determined
recently i feel aggressive right now but i do not know what to do,anger,frustrated
recently i feel left out please help me,loneliness,down
at home i have trouble falling asleep and i want to feel better,sleep,anxious
sometimes i am angry at my friend and i want to feel better,anger,angry
recently i am angry at my friend please help me,anger,angry
honestly i cannot stop overthinking today,anxiety,nervous
at home are you there and it is affecting me,greeting,neutral
at night i feel isolated today,loneliness,sad
in class i want to cry,sadness,sad
at night i feel lonely and i feel stuck,loneliness,lonely
recently i finally made progress today,positive,hopeful
i want to cry right now,sadness,upset
at home i keep overthinking at night these days,sleep,anxious
recently i am scared about the future and it is affecting me,anxiety,anxious
at night i am worried something bad will happen these days,anxiety,anxious
hey can you listen to me lately,greeting,happy
at home i want to build better habits lately,motivation,hopeful
at night i feel exhausted every morning and it is affecting me,sleep,tired
sometimes i want to keep going and i feel stuck,motivation,neutral
sometimes good morning right now,greeting,happy
my heart is racing and i want to feel better,anxiety,nervous
i am happy today please help me,positive,happy
i feel alone even around people because it keeps happening,loneliness,down
sometimes i appreciate your help and i want to feel better,gratitude,grateful
at night everyone seems busy without me but i do not know what to do,loneliness,lonely
sometimes i cannot relax at bedtime right now,sleep,anxious
at home i appreciate my family and it is affecting me,gratitude,grateful
at night i feel lazy but want to change and it is affecting me,motivation,tired
i had a good day and it is affecting me,positive,content
honestly i am grateful for small things today and i need help,gratitude,content
at night i feel left out and i feel stuck,loneliness,down
i want to build better habits right now,motivation,tired
sometimes i am scared i will disappoint everyone these days,self_esteem,insecure
sometimes i have no one to share this with and i feel stuck,loneliness,lonely
in class my thoughts are moving too fast but i do not know what to do,anxiety,overwhelmed
at home i appreciate my family but i do not know what to do,gratitude,happy
thank you for listening,gratitude,content
at night i feel isolated because it keeps happening,loneliness,sad
in class i cannot control my anger and i want to feel better,anger,upset
at night i feel forgotten and i want to feel better,loneliness,down
sometimes my mind is overloaded but i do not know what to do,stress,frustrated
at home i feel worthless sometimes and it is affecting me,self_esteem,insecure
at home i feel lonely right now,loneliness,down
at night i am happy today right now,positive,determined
at home i sleep too late because it keeps happening,sleep,anxious
at night i keep comparing myself to others and i need help,self_esteem,confused
sometimes i feel anxious but i do not know what to do,anxiety,anxious
at night i am worried something bad will happen today,anxiety,worried
honestly i need someone to talk to lately,greeting,content
recently i feel lonely and i need help,loneliness,lonely
sometimes thanks for being here and i feel stuck,gratitude,grateful
in class i cannot stop overthinking because it keeps happening,anxiety,overwhelmed
at home i wake up tired these days,sleep,anxious
i cannot relax at bedtime and i feel stuck,sleep,anxious
sometimes i feel lazy but want to change these days,motivation,hopeful
sometimes my heart is racing today,anxiety,overwhelmed
at home can we talk please help me,greeting,happy
at home help me stay consistent because it keeps happening,motivation,neutral
recently nothing feels good today lately,sadness,hopeless
honestly i cannot stop crying because it keeps happening,sadness,down
sometimes exam pressure is overwhelming today,academic_pressure,stressed
at night i am afraid of failing,academic_pressure,stressed
in class hey there and it is affecting me,greeting,neutral
sometimes how can i pass my exams and it is affecting me,academic_pressure,worried
i need company but i do not know what to do,loneliness,lonely
honestly i want to improve myself these days,motivation,determined
in class i am happy today and it is affecting me,positive,content
in class someone made me furious today,anger,upset
honestly i am scared about the future these days,anxiety,anxious
i keep imagining the worst and i need help,anxiety,worried
at night my friend ignored me right now,relationship,sad
recently i am sad and tired lately,sadness,depressed
at home work is overwhelming lately,stress,tired
i am scared about the future please help me,anxiety,nervous
recently i do not feel confident because it keeps happening,self_esteem,sad
my sleep is disturbed and i need help,sleep,anxious
i am angry at my friend but i do not know what to do,anger,upset
recently i feel useless today,self_esteem,insecure
recently i feel exhausted every morning please help me,sleep,anxious
recently i am afraid of failing lately,academic_pressure,worried
at home i keep overthinking at night please help me,sleep,stressed
sometimes i feel hopeless right now lately,sadness,down
at night i am grateful for small things today and i feel stuck,gratitude,grateful
recently i want to keep going and i feel stuck,motivation,determined
in class everything feels like too much please help me,stress,frustrated
i doubt myself but i do not know what to do,self_esteem,insecure
honestly i feel hopeless right now but i do not know what to do,sadness,hopeless
sometimes i sleep too late because it keeps happening,sleep,anxious
recently i feel isolated and i need help,loneliness,sad
sometimes thanks for being here and i need help,gratitude,happy
at home i feel nervous today and i feel stuck,anxiety,worried
honestly i had a good day because it keeps happening,positive,hopeful
sometimes i had a fight with someone close please help me,relationship,confused
nobody talks to me and i want to feel better,loneliness,sad
at night thanks that helped me and it is affecting me,gratitude,content
sometimes good morning because it keeps happening,greeting,happy
in class good evening these days,greeting,happy
sometimes i feel calm today and i feel stuck,positive,content
sometimes i want to improve myself and it is affecting me,motivation,determined
recently i feel like a failure and i need help,self_esteem,hopeless
i want to hit something because it keeps happening,anger,frustrated
recently my heart is racing and i feel stuck,anxiety,worried
recently i need company and i want to feel better,loneliness,down
i feel alone even around people lately,loneliness,down
at night hello i want to chat and it is affecting me,greeting,content
sometimes my relationship is stressful and i feel stuck,relationship,worried
i cannot handle all this pressure today,stress,stressed
at home i miss my friend these days,relationship,upset
in class i feel down for no reason right now,sadness,sad
in class i cannot focus on studying and i feel stuck,academic_pressure,worried
sometimes i keep comparing myself to others and i need help,self_esteem,confused
in class i feel worthless sometimes and i need help,self_esteem,confused
at night i cannot relax at bedtime and i feel stuck,sleep,tired
at home i am scared about the future please help me,anxiety,worried
recently thank you for listening because it keeps happening,gratitude,content
at home i cannot believe in myself and i feel stuck,self_esteem,hopeless
sometimes i am scared about the future and i feel stuck,anxiety,overwhelmed
everyone seems busy without me and i feel stuck,loneliness,down
at home i am grateful for small things today because it keeps happening,gratitude,content
at home i cannot handle all this pressure and i want to feel better,stress,overwhelmed
in class i want to feel better please help me,motivation,neutral
at night i feel nervous today and i feel stuck,anxiety,nervous
honestly i feel like shouting and i want to feel better,anger,upset
honestly i want to cry and i feel stuck,sadness,sad
sometimes i cannot focus on studying these days,academic_pressure,worried
at home i feel anxious and i need help,anxiety,overwhelmed
sometimes i feel lonely and it is affecting me,loneliness,down
recently i doubt myself but i do not know what to do,self_esteem,confused
sometimes i feel isolated but i do not know what to do,loneliness,sad
recently i am sad and tired and it is affecting me,sadness,hopeless
at night i feel burned out right now,stress,frustrated
sometimes i feel lazy but want to change and i need help,motivation,hopeful
honestly i am scared i will disappoint everyone and i need help,self_esteem,hopeless
recently i am getting mad today,anger,frustrated
at home i am confused about my relationship and i feel stuck,relationship,sad
at night hello i want to chat lately,greeting,neutral
honestly help me stay consistent please help me,motivation,hopeful
in class i finally made progress and i want to feel better,positive,content
recently i cannot handle all this pressure and it is affecting me,stress,tired
honestly i am angry at my friend,anger,frustrated
i want to keep going but i do not know what to do,motivation,determined
in class i feel like a failure right now,self_esteem,insecure
honestly hello today,greeting,happy
recently i am angry upon you because it keeps happening,anger,angry
sometimes i am angry upon you and i want to feel better,anger,frustrated
at night my relationship is stressful and i feel stuck,relationship,sad
i feel worthless sometimes and i need help,self_esteem,confused
in class everything feels like too much and it is affecting me,stress,stressed
can we talk and it is affecting me,greeting,content
recently i cannot stop overthinking but i do not know what to do,anxiety,anxious
at night i need better sleep today,sleep,tired
sometimes how can i pass my exams lately,academic_pressure,anxious
sometimes someone close disappointed me and i want to feel better,relationship,sad
sometimes i feel frustrated with everyone and i want to feel better,anger,upset
i want to improve myself but i do not know what to do,motivation,tired
at home i feel burned out please help me,stress,stressed
in class i am angry at my friend right now,anger,upset
recently i feel burned out please help me,stress,stressed
i have too many responsibilities right now,stress,overwhelmed
recently my mind is overloaded and i want to feel better,stress,stressed
recently i feel forgotten lately,loneliness,sad
honestly i have too many responsibilities and i need help,stress,stressed
at night i cannot stop crying and it is affecting me,sadness,down
at night i miss having someone close lately,loneliness,down
in class i feel isolated but i do not know what to do,loneliness,lonely
at night my relationship is stressful please help me,relationship,sad
honestly i feel worthless sometimes please help me,self_esteem,sad
hey can you listen to me because it keeps happening,greeting,content
honestly someone close disappointed me and i need help,relationship,upset
in class i feel burned out these days,stress,stressed
honestly thank you i feel supported because it keeps happening,gratitude,content
at night i feel like a failure and i need help,self_esteem,confused
recently i feel restless and tense,anxiety,anxious
i feel like i am not good enough and i feel stuck,self_esteem,hopeless
honestly i want to build better habits today,motivation,neutral
i do not know how to fix this relationship right now,relationship,confused
at night i am grateful for small things today but i do not know what to do,gratitude,happy
nobody talks to me and i need help,loneliness,lonely
sometimes i am afraid of failing right now,academic_pressure,stressed
in class i feel calm today please help me,positive,happy
in class i feel lonely today,loneliness,sad
honestly i am stressed because of exams these days,academic_pressure,overwhelmed
honestly i am tired of dealing with problems,stress,frustrated
i want to keep going because it keeps happening,motivation,neutral
i have too much study pressure but i do not know what to do,academic_pressure,overwhelmed
in class i do not know how to fix this relationship,relationship,worried
sometimes i keep imagining the worst and i want to feel better,anxiety,nervous
at home i had a fight with someone close and i feel stuck,relationship,sad
honestly i have trouble falling asleep because it keeps happening,sleep,anxious
in class i procrastinated and exams are near please help me,academic_pressure,anxious
at home i am scared i will disappoint everyone but i do not know what to do,self_esteem,hopeless
in class i sleep too late please help me,sleep,anxious
recently i am excited about tomorrow and i want to feel better,positive,content
recently i cannot relax at bedtime right now,sleep,stressed
recently i feel exhausted every morning and it is affecting me,sleep,stressed
in class i cannot control my anger lately,anger,angry
sometimes i feel empty inside today,sadness,hopeless
i feel restless and tense,anxiety,anxious
at night i feel alone even around people because it keeps happening,loneliness,sad
i feel sad today right now,sadness,hopeless
in class i feel stressed because it keeps happening,stress,tired
at night i am stressed because of exams and i feel stuck,academic_pressure,stressed
at home can we talk today,greeting,content
recently i am getting mad but i do not know what to do,anger,frustrated
work is overwhelming today,stress,stressed
sometimes i want to hit something because it keeps happening,anger,angry
at home i feel depressed today and i need help,sadness,sad
at home i feel useless today,self_esteem,hopeless
sometimes i am angry today,anger,angry
recently i feel depressed today please help me,sadness,down
honestly hello i want to chat but i do not know what to do,greeting,neutral
honestly someone made me furious these days,anger,frustrated
recently i feel lonely lately,loneliness,sad
i have no one to share this with because it keeps happening,loneliness,sad
honestly they do not understand me today,relationship,sad
honestly my friend ignored me and i feel stuck,relationship,upset
sometimes i miss having someone close and i want to feel better,loneliness,down
at night i am angry these days,anger,frustrated
at home i have too much study pressure and i want to feel better,academic_pressure,stressed
honestly i do not know how to fix this relationship because it keeps happening,relationship,sad
in class work is overwhelming right now,stress,overwhelmed
in class i feel burned out right now,stress,overwhelmed
i feel peaceful right now these days,positive,determined
in class i feel exhausted every morning and i need help,sleep,anxious
sometimes i feel left out lately,loneliness,lonely
in class i had a fight with someone close lately,relationship,worried
honestly how can i pass my exams because it keeps happening,academic_pressure,anxious
i need a break these days,stress,tired
sometimes i appreciate my family lately,gratitude,content
honestly i appreciate my family because it keeps happening,gratitude,content
in class i feel peaceful right now and i need help,positive,content
at home i want to hit something,anger,upset
honestly i need someone to talk to these days,greeting,content
honestly i keep comparing myself to others and i need help,self_esteem,confused
at night i feel isolated and i want to feel better,loneliness,sad
recently i feel sad today and i need help,sadness,hopeless
at night i sleep too late today,sleep,tired
recently my mind is overloaded please help me,stress,stressed
at home i feel more confident please help me,positive,happy
recently hello,greeting,happy
recently i am sad and tired please help me,sadness,hopeless
at home i had a fight with someone close and i need help,relationship,worried
in class i want to feel better these days,motivation,tired
sometimes i am grateful for small things today please help me,gratitude,content
in class i feel isolated and i feel stuck,loneliness,down
at night hello these days,greeting,happy
recently i am proud of myself and i want to feel better,positive,hopeful
at home i want to build better habits because it keeps happening,motivation,hopeful
sometimes i cannot stop overthinking and i need help,anxiety,overwhelmed
honestly i do not know how to fix this relationship and i want to feel better,relationship,worried
at night i feel grateful today and it is affecting me,gratitude,happy
recently i feel like shouting and it is affecting me,anger,upset
sometimes thank you i feel supported today,gratitude,grateful
in class i cannot stop overthinking and it is affecting me,anxiety,worried
recently i feel depressed today but i do not know what to do,sadness,depressed
recently i had a fight with someone close lately,relationship,sad
at home i sleep too late and it is affecting me,sleep,stressed
sometimes i cannot control my anger today,anger,angry
honestly i am angry but i do not know what to do,anger,upset
in class thank you for listening and i need help,gratitude,content
at home are you there and i want to feel better,greeting,content
in class i sleep too late please help me,sleep,tired
at home i cannot focus on studying but i do not know what to do,academic_pressure,overwhelmed
at night i have too much study pressure and it is affecting me,academic_pressure,stressed
i cannot handle all this pressure today,stress,tired
sometimes i feel grateful today please help me,gratitude,happy
in class i am worried about my grades today,academic_pressure,worried
at night i have too many responsibilities and i need help,stress,tired
recently my mind stays awake and i need help,sleep,stressed
at home i feel stressed and i need help,stress,overwhelmed
i want to hit something lately,anger,angry
i finally made progress because it keeps happening,positive,content
at home i appreciate your help and i need help,gratitude,content
recently i feel pressure from every side today,stress,stressed
recently everyone seems busy without me and i want to feel better,loneliness,sad
i have too much study pressure these days,academic_pressure,anxious
i am scared about the future today,anxiety,nervous
at night my mind is overloaded right now,stress,tired
i need encouragement and i want to feel better,motivation,hopeful
sometimes i want to build better habits today,motivation,determined
i wake up tired,sleep,tired
honestly i cannot handle all this pressure these days,stress,tired
in class i am proud of myself please help me,positive,happy
recently i am scared i will disappoint everyone and i want to feel better,self_esteem,insecure
recently i feel hopeful please help me,positive,hopeful
at home i keep overthinking at night today,sleep,tired
honestly i feel peaceful right now and i feel stuck,positive,content
recently i finally made progress lately,positive,content
at night i want to feel better and i feel stuck,motivation,neutral
honestly i have no one to share this with lately,loneliness,lonely
honestly i am excited about tomorrow lately,positive,hopeful
i feel restless and tense today,anxiety,worried
honestly i wake up tired right now,sleep,tired
recently i cannot control my anger these days,anger,frustrated
honestly i had a fight with someone close these days,relationship,confused
at night i am angry at my friend because it keeps happening,anger,angry
recently i am scared i will disappoint everyone lately,self_esteem,sad
recently i feel grateful today please help me,gratitude,grateful
sometimes i feel like i am not good enough,self_esteem,insecure
sometimes someone close disappointed me and i feel stuck,relationship,confused
at night my thoughts are moving too fast and i feel stuck,anxiety,anxious
at night work is overwhelming please help me,stress,tired
recently my mind is overloaded but i do not know what to do,stress,frustrated
recently i keep overthinking at night and it is affecting me,sleep,anxious
at home i need help planning my studies these days,academic_pressure,anxious
recently i cannot focus on studying these days,academic_pressure,anxious
sometimes i am thankful for my friends and i want to feel better,gratitude,content
in class good evening because it keeps happening,greeting,happy
recently i cannot control my anger lately,anger,frustrated
honestly nothing feels good today today,sadness,hopeless
sometimes i appreciate my family and i want to feel better,gratitude,happy
at night i doubt myself these days,self_esteem,sad
hey there,greeting,neutral
in class good morning right now,greeting,content
in class i am worried about my grades,academic_pressure,stressed
honestly my mind is overloaded and it is affecting me,stress,tired
recently my assignments are too much,academic_pressure,worried
in class i am worried about my grades but i do not know what to do,academic_pressure,stressed
recently i cannot handle all this pressure and i feel stuck,stress,frustrated
at night i am happy today but i do not know what to do,positive,content
at night i feel rejected these days,relationship,sad
honestly i cannot relax at bedtime and i feel stuck,sleep,tired
recently i need a small step to begin these days,motivation,tired
i feel isolated but i do not know what to do,loneliness,down
honestly my friend ignored me today,relationship,worried
sometimes i feel hopeless right now these days,sadness,hopeless
recently i cannot stop crying and it is affecting me,sadness,upset
honestly my mind is overloaded,stress,overwhelmed
recently my heart is racing and i want to feel better,anxiety,nervous
at home nobody talks to me please help me,loneliness,lonely
sometimes i am confused about my relationship and i feel stuck,relationship,confused
recently good morning and i need help,greeting,content
sometimes i am worried about my grades and it is affecting me,academic_pressure,worried
in class i appreciate my family please help me,gratitude,happy
at home i need help planning my studies lately,academic_pressure,worried
recently i feel more confident and i want to feel better,positive,happy
i am getting mad but i do not know what to do,anger,upset
sometimes i need encouragement right now,motivation,tired
recently i am sad and tired today,sadness,depressed
at night i am angry at my friend,anger,upset
at home my sleep is disturbed but i do not know what to do,sleep,tired
honestly i appreciate your help today,gratitude,grateful
recently i feel panic building up please help me,anxiety,overwhelmed
at home i cannot stop crying lately,sadness,sad
i need encouragement and i need help,motivation,neutral
honestly i feel more confident and i feel stuck,positive,content
sometimes i do not know how to fix this relationship but i do not know what to do,relationship,sad
at home i feel restless and tense but i do not know what to do,anxiety,worried
at night i have no one to share this with these days,loneliness,lonely
at night i feel down for no reason and i want to feel better,sadness,depressed
honestly i have trouble falling asleep but i do not know what to do,sleep,stressed
in class my thoughts are moving too fast,anxiety,worried
at night i feel like i am not good enough,self_esteem,hopeless
at home i miss having someone close and it is affecting me,loneliness,down
i sleep too late and i need help,sleep,stressed
recently help me stay consistent but i do not know what to do,motivation,determined
honestly i feel depressed today and i want to feel better,sadness,hopeless
at home i am thankful for my friends and i want to feel better,gratitude,happy
at home i feel grateful today right now,gratitude,happy
at home good evening lately,greeting,happy
at home someone close disappointed me because it keeps happening,relationship,sad
in class nothing feels good today please help me,sadness,sad
at night i doubt myself because it keeps happening,self_esteem,sad
recently exam pressure is overwhelming today,academic_pressure,overwhelmed
recently i am angry at my friend lately,anger,upset
sometimes i hate how i look and i feel stuck,self_esteem,sad
honestly i am getting mad please help me,anger,upset
at night i feel rejected please help me,relationship,worried
honestly i feel depressed today and i feel stuck,sadness,hopeless
i feel left out right now,loneliness,lonely
in class everything feels like too much but i do not know what to do,stress,frustrated
sometimes i cannot control my anger lately,anger,angry
sometimes i feel depressed today and i need help,sadness,down
honestly i feel useless and i feel stuck,self_esteem,confused
honestly i cannot believe in myself,self_esteem,confused
honestly i am angry and i want to feel better,anger,angry
at home i had a fight with someone close because it keeps happening,relationship,confused
honestly i feel lonely today,loneliness,lonely
honestly i need a break lately,stress,overwhelmed
recently i want to keep going these days,motivation,neutral
in class i need someone to talk to and i feel stuck,greeting,content
i cannot believe in myself,self_esteem,insecure
at home i feel sad today and i feel stuck,sadness,sad
i feel more confident and i want to feel better,positive,content
honestly i feel panic building up because it keeps happening,anxiety,overwhelmed
at home someone made me furious and it is affecting me,anger,upset
recently i am worried about my grades,academic_pressure,overwhelmed
at night i feel nervous today right now,anxiety,overwhelmed
at night i feel hurt by someone i love because it keeps happening,relationship,sad
honestly thank you i feel supported because it keeps happening,gratitude,happy
at home how can i start again and it is affecting me,motivation,neutral
at night i am angry at my friend please help me,anger,frustrated
in class my relationship is stressful and i feel stuck,relationship,confused
recently i cannot stop overthinking lately,anxiety,worried
honestly i need motivation and i want to feel better,motivation,tired
i doubt myself today,self_esteem,confused
sometimes my mind stays awake and i want to feel better,sleep,tired
sometimes i feel rejected but i do not know what to do,relationship,confused
recently i need motivation and i feel stuck,motivation,neutral
at night help me stay consistent and i need help,motivation,hopeful
at night i feel anxious and i feel stuck,anxiety,anxious
i feel frustrated with everyone and it is affecting me,anger,frustrated
at home my thoughts are moving too fast but i do not know what to do,anxiety,worried
at night i am angry at my friend today,anger,upset
i feel more confident right now,positive,happy
at night i need a break today,stress,overwhelmed
i need help planning my studies and i need help,academic_pressure,overwhelmed
sometimes help me stay consistent please help me,motivation,neutral
honestly i cannot stop overthinking because it keeps happening,anxiety,overwhelmed
at home hey can you listen to me today,greeting,content
sometimes i feel alone even around people today,loneliness,lonely
at home i am happy today,positive,hopeful
sometimes i miss my friend today,relationship,worried
recently i am confused about my relationship lately,relationship,worried
recently i cannot stop crying and i feel stuck,sadness,sad
at home my relationship is stressful right now,relationship,upset
honestly i cannot relax at bedtime lately,sleep,tired
honestly i feel sad today and it is affecting me,sadness,down
at home i feel lonely right now,loneliness,lonely
recently i feel panic building up right now,anxiety,nervous
recently hello i want to chat and i feel stuck,greeting,neutral
sometimes my friend ignored me and i want to feel better,relationship,worried
honestly i want to feel better but i do not know what to do,motivation,tired
honestly can we talk because it keeps happening,greeting,happy
honestly i feel peaceful right now and i want to feel better,positive,hopeful
in class i am angry upon you and i need help,anger,frustrated
recently i am worried something bad will happen lately,anxiety,overwhelmed
i do not know how to fix this relationship and it is affecting me,relationship,worried
in class i cannot focus on studying please help me,academic_pressure,worried
in class i feel sad today and it is affecting me,sadness,upset
sometimes i feel restless and tense because it keeps happening,anxiety,overwhelmed
someone close disappointed me because it keeps happening,relationship,sad
i feel calm today and i want to feel better,positive,content
at night i feel forgotten and it is affecting me,loneliness,sad
in class i feel useless and i feel stuck,self_esteem,confused
at night i am thankful for my friends but i do not know what to do,gratitude,grateful
recently my heart feels heavy please help me,sadness,sad
recently i feel exhausted every morning but i do not know what to do,sleep,anxious
honestly i feel like i am not good enough lately,self_esteem,insecure
honestly i need better sleep lately,sleep,stressed
honestly i hate how i look these days,self_esteem,hopeless
in class i doubt myself please help me,self_esteem,sad
recently i feel nervous today please help me,anxiety,anxious
sometimes work is overwhelming lately,stress,overwhelmed
sometimes i feel sad today,sadness,hopeless
honestly i feel calm today and it is affecting me,positive,determined
i keep comparing myself to others and i want to feel better,self_esteem,insecure
at night i feel hopeful right now,positive,happy
at home i feel stressed and i want to feel better,stress,tired
nobody talks to me and it is affecting me,loneliness,down
recently help me stay consistent these days,motivation,hopeful
i feel peaceful right now and i feel stuck,positive,happy
how can i pass my exams and it is affecting me,academic_pressure,overwhelmed
at home i feel hopeless right now,sadness,depressed
at night my friend ignored me,relationship,sad
honestly i feel grateful today please help me,gratitude,happy
honestly i miss my friend and i need help,relationship,confused
honestly i do not feel confident because it keeps happening,self_esteem,sad
at night i cannot control my anger,anger,frustrated
recently i cannot stop overthinking these days,anxiety,anxious
i feel aggressive right now but i do not know what to do,anger,frustrated
in class i cannot control my anger today,anger,angry
honestly exam pressure is overwhelming and it is affecting me,academic_pressure,stressed
sometimes i am proud of myself and i want to feel better,positive,content
at home i feel frustrated with everyone,anger,frustrated
at night i need company and i feel stuck,loneliness,down
recently help me stay consistent but i do not know what to do,motivation,hopeful
sometimes i am afraid of failing,academic_pressure,anxious
recently i am angry and i feel stuck,anger,frustrated
at night help me stay consistent lately,motivation,determined
i need someone to talk to today,greeting,neutral
in class i feel lucky to have support lately,gratitude,grateful
at home i wake up tired because it keeps happening,sleep,tired
at night i cannot sleep but i do not know what to do,sleep,tired
in class my mind is overloaded and i want to feel better,stress,overwhelmed
at night i want to feel better and it is affecting me,motivation,determined
recently i miss my friend today,relationship,upset
recently i feel hopeless right now please help me,sadness,hopeless
at home i appreciate my family right now,gratitude,grateful
at home i do not feel confident please help me,self_esteem,confused
i am proud of myself and i want to feel better,positive,happy
honestly i am stressed because of exams and it is affecting me,academic_pressure,worried
at home i keep overthinking at night these days,sleep,stressed
at night i feel empty inside these days,sadness,upset
sometimes good morning these days,greeting,neutral
in class i doubt myself because it keeps happening,self_esteem,insecure
at home i cannot handle all this pressure lately,stress,stressed
sometimes i do not know how to fix this relationship and it is affecting me,relationship,sad
sometimes i sleep too late today,sleep,stressed
at night i hate how i look please help me,self_esteem,hopeless
i need encouragement these days,motivation,determined
at home i feel depressed today and it is affecting me,sadness,hopeless
at home i feel peaceful right now,positive,hopeful
at home i am stressed because of exams and i want to feel better,academic_pressure,anxious
hi because it keeps happening,greeting,content
in class exam pressure is overwhelming these days,academic_pressure,worried
in class i cannot sleep because it keeps happening,sleep,stressed
sometimes i feel hopeless right now and i feel stuck,sadness,down
in class i want to hit something these days,anger,upset
honestly i miss having someone close but i do not know what to do,loneliness,down
at night thanks that helped me please help me,gratitude,grateful
sometimes i feel lucky to have support these days,gratitude,grateful
i am sad and tired and it is affecting me,sadness,upset
at night my heart is racing and it is affecting me,anxiety,nervous
recently i need company please help me,loneliness,sad
at home i need someone to talk to right now,greeting,content
recently someone close disappointed me and i feel stuck,relationship,sad
i hate how i look and i feel stuck,self_esteem,confused
at home how can i pass my exams please help me,academic_pressure,stressed
at home i appreciate your help right now,gratitude,happy
honestly i need encouragement,motivation,tired
at home i am angry at my friend,anger,angry
honestly i want to build better habits and it is affecting me,motivation,hopeful
at night my mind is overloaded and it is affecting me,stress,stressed
at home i want to build better habits today,motivation,determined
honestly i am worried something bad will happen and i feel stuck,anxiety,overwhelmed
at night i miss my friend and i want to feel better,relationship,confused
sometimes thanks for being here and i need help,gratitude,content
sometimes i had a fight with someone close,relationship,worried
at home i feel anxious today,anxiety,nervous
sometimes i am confused about my relationship right now,relationship,confused
at night i cannot control my anger because it keeps happening,anger,frustrated
i am excited about tomorrow but i do not know what to do,positive,determined
at home i had a good day and i feel stuck,positive,determined
at home i appreciate your help but i do not know what to do,gratitude,content
at night i am excited about tomorrow please help me,positive,determined
at home thanks that helped me and i feel stuck,gratitude,content
how can i start again please help me,motivation,hopeful
at home i feel down for no reason please help me,sadness,down
sometimes i feel alone even around people today,loneliness,sad
i want to cry lately,sadness,hopeless
i doubt myself because it keeps happening,self_esteem,hopeless
sometimes can we talk and i feel stuck,greeting,content
i am sad and tired and i want to feel better,sadness,sad
help me stay consistent and i need help,motivation,neutral
at home my assignments are too much but i do not know what to do,academic_pressure,worried
honestly hello these days,greeting,neutral
i am sad and tired but i do not know what to do,sadness,sad
at night i hate how i look and i want to feel better,self_esteem,sad
recently i cannot focus on studying today,academic_pressure,worried
honestly how can i start again lately,motivation,neutral
honestly i feel empty inside and it is affecting me,sadness,sad
sometimes i feel lucky to have support lately,gratitude,happy
honestly everything feels like too much lately,stress,tired
at home i miss my friend and i feel stuck,relationship,confused
sometimes i appreciate your help and i want to feel better,gratitude,happy
my relationship is stressful,relationship,upset
honestly how can i start again and it is affecting me,motivation,neutral
recently i finally made progress and i feel stuck,positive,happy
at night i want to feel better and it is affecting me,motivation,neutral
recently i need a break and i need help,stress,tired
recently i feel aggressive right now right now,anger,upset
sometimes i need encouragement today,motivation,hopeful
recently i am stressed because of exams lately,academic_pressure,anxious
sometimes i need encouragement and it is affecting me,motivation,hopeful
sometimes thank you for listening because it keeps happening,gratitude,happy
in class i am worried about my grades but i do not know what to do,academic_pressure,anxious
someone close disappointed me right now,relationship,worried
recently i feel better now please help me,positive,determined
sometimes good evening and i need help,greeting,neutral
in class i feel empty inside,sadness,down
at home my mind stays awake lately,sleep,stressed
i miss my friend right now,relationship,confused
i feel frustrated with everyone,anger,upset
recently good evening because it keeps happening,greeting,content
in class i feel calm today lately,positive,hopeful
at home i cannot stop crying and i feel stuck,sadness,upset
